tenure,MonthlyCharges,TotalCharges,CLV,services_count,monthly_to_total_ratio,internet_no_tech_support,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure_bucket,ChurnFlag
11,94.0,1078.9,564.0,5,1.043423597678917,1,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,6-12m,1
18,75.4,1380.4,452.40000000000003,3,1.017094017094017,1,Female,0,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12-24m,0
72,104.8,7470.1,2515.2,7,0.9899941687871079,1,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0
10,46.0,492.1,276.0,2,1.0697826086956521,1,Male,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,6-12m,0
1,20.9,20.9,125.39999999999999,1,1.0,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-6m,1
21,104.4,2200.25,626.4000000000001,7,1.003580550994344,1,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),12-24m,1
32,91.05,2871.5,546.3,4,0.9855505216913784,1,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,24m+,0
18,69.8,1221.65,418.79999999999995,2,0.9723416109519263,1,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,12-24m,0
72,118.2,8547.15,2836.8,9,1.0043182459108855,0,Male,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,24m+,0
10,84.6,865.55,507.59999999999997,4,1.0231087470449172,1,Female,1,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),6-12m,1
41,20.15,802.35,483.59999999999997,1,0.971191672214489,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,0
1,40.1,40.1,240.60000000000002,3,1.0,0,Female,0,Yes,Yes,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,0-6m,1
16,73.25,1195.75,439.5,3,1.0202645051194539,1,Female,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),12-24m,0
8,69.7,560.85,418.20000000000005,2,1.0058285509325682,1,Male,1,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,6-12m,1
6,94.5,575.45,567.0,5,1.0149029982363316,1,Male,0,No,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,0-6m,1
54,105.4,5643.4,1264.8000000000002,7,0.9915313795769203,0,Male,0,No,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),24m+,1
24,101.25,2440.15,607.5,6,1.0041769547325103,1,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,12-24m,1
23,19.65,478.1,235.79999999999998,1,1.0578603827857065,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),12-24m,0
45,99.7,4634.35,2392.8,6,1.0329544188119917,1,Male,0,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),24m+,0
8,45.45,411.75,272.70000000000005,2,1.1324257425742574,1,Female,0,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,6-12m,0
1,24.8,24.8,148.8,1,1.0,1,Male,0,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0-6m,1
1,44.9,44.9,269.4,2,1.0,1,Female,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0-6m,1
72,21.0,1493.75,504.0,1,0.9879298941798942,0,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24m+,0
3,45.0,127.1,270.0,2,0.9414814814814815,1,Female,1,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0-6m,1
23,75.0,1778.5,450.0,3,1.0310144927536231,1,Female,0,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),12-24m,0
54,72.1,3886.05,865.1999999999999,6,0.9981121898597628,0,Female,1,No,No,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,24m+,0
69,99.15,6875.35,2379.6000000000004,6,1.0049697793564136,1,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),24m+,0
8,19.75,145.0,237.0,1,0.9177215189873418,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,6-12m,1
12,19.4,198.1,116.39999999999999,1,0.8509450171821307,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),6-12m,0
71,116.3,8309.55,1395.6,9,1.006327734247272,0,Male,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),24m+,0
69,24.95,1718.35,598.8,2,0.9981412099561442,0,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0
36,76.35,2606.35,916.1999999999999,7,0.9482463799752602,0,Female,0,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,24m+,0
38,62.3,2354.8,747.5999999999999,5,0.9946777054997044,0,Male,0,No,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,24m+,1
33,59.4,1952.8,712.8,5,0.9962248750127538,0,Female,0,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,24m+,0
1,24.8,24.8,148.8,1,1.0,1,Female,1,Yes,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,1
31,20.45,638.55,490.79999999999995,1,1.0072560927517944,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,0
58,25.3,1474.35,607.2,2,1.0047362682295216,0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0
51,81.0,4085.75,486.0,4,0.9890462357782619,1,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24m+,0
13,54.15,701.05,649.8,4,0.9958803892321898,0,Female,0,Yes,Yes,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),12-24m,0
58,94.35,5563.65,2264.3999999999996,6,1.0166931637519874,0,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),24m+,0
35,25.6,901.25,153.60000000000002,2,1.005859375,0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24m+,0
70,86.45,5950.2,2074.8,8,0.9832603486738825,0,Female,0,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),24m+,0
65,24.8,1600.95,297.6,2,0.9931451612903226,0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24m+,0
18,88.35,1639.3,530.0999999999999,5,1.0308117965163806,0,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,12-24m,1
45,50.9,2298.55,305.4,3,1.0035145164811177,1,Male,0,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),24m+,0
41,99.8,4259.3,598.8,6,1.040935529595777,1,Male,1,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,1
47,78.9,3650.35,946.8000000000001,4,0.9843728932394897,1,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,24m+,0
72,79.5,5661.7,1908.0,8,0.989116002795248,0,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),24m+,0
62,60.15,3753.2,1443.6,5,1.0064087094092726,0,Male,0,Yes,No,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),24m+,0
23,25.6,514.75,614.4000000000001,2,0.8742357336956521,0,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),12-24m,0
56,24.9,1334.0,298.79999999999995,2,0.9566838783706254,0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24m+,1
8,64.1,504.05,384.59999999999997,5,0.982936817472699,0,Female,0,No,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,6-12m,0
71,24.4,1725.4,585.5999999999999,2,0.9959593627337798,0,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0
58,71.6,4230.25,1718.3999999999999,7,1.0186500674243886,0,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),24m+,0
63,74.5,4674.55,1788.0,7,0.9959625013316289,0,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),24m+,0
6,69.8,377.85,418.79999999999995,2,0.902220630372493,1,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,0
14,39.7,692.35,952.8000000000001,4,1.2456818999640158,0,Female,1,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,12-24m,0
68,108.45,7176.55,1301.4,8,0.973144306131858,0,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,24m+,1
6,49.65,267.35,297.9,3,0.8974488083249414,0,Female,0,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),0-6m,1
64,104.4,6692.65,2505.6000000000004,7,1.0016537954980842,1,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0
7,19.5,128.6,234.0,1,0.9421245421245421,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,6-12m,0
11,60.9,688.5,365.4,5,1.0277653381101657,0,Male,0,No,No,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,6-12m,0
1,25.7,25.7,154.2,2,1.0,0,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,0-6m,0
53,73.8,4003.85,442.79999999999995,3,1.023636038247175,1,Female,1,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24m+,0
12,19.3,228.75,231.60000000000002,1,0.9876943005181347,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,6-12m,0
33,53.75,1857.3,645.0,4,1.0471035940803382,0,Female,0,Yes,No,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),24m+,0
24,94.1,2322.85,564.5999999999999,5,1.0285379029401347,1,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,12-24m,0
70,40.05,2799.75,961.1999999999999,3,0.9986623863028358,0,Male,0,No,No,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,24m+,0
37,20.15,785.75,241.79999999999998,1,1.053919924887667,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24m+,0
5,104.1,541.9,624.5999999999999,7,1.0411143131604226,1,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,0-6m,1
1,70.45,70.45,422.70000000000005,2,1.0,1,Male,0,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0-6m,1
1,70.3,70.3,421.79999999999995,2,1.0,1,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,1
46,20.2,845.6,242.39999999999998,1,0.9100301334481276,0,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24m+,0
24,66.3,1559.45,397.79999999999995,6,0.9800465057818001,1,Female,0,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,12-24m,0
11,54.55,601.25,327.29999999999995,4,1.001999833347221,0,Male,1,No,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,6-12m,0
9,69.05,651.5,414.29999999999995,2,1.0483546544372033,1,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,6-12m,0
4,25.25,101.9,151.5,2,1.008910891089109,0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-6m,0
2,20.35,35.1,122.10000000000001,1,0.8624078624078624,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),0-6m,0
19,75.9,1375.6,455.40000000000003,7,0.9538866930171277,0,Female,0,No,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,12-24m,0
18,20.05,345.9,240.60000000000002,1,0.9584372402327513,0,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),12-24m,0
69,93.3,6398.05,2239.2,6,0.9938409680475947,0,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),24m+,0
70,44.05,3011.65,528.5999999999999,4,0.9766985568347657,1,Male,1,No,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),24m+,0
1,75.35,75.35,452.09999999999997,3,1.0,1,Male,0,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,1
13,19.55,265.3,469.20000000000005,1,1.0438717292937243,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,12-24m,0
4,20.15,68.45,120.89999999999999,1,0.8492555831265509,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),0-6m,0
1,35.0,35.0,210.0,2,1.0,1,Female,0,Yes,No,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,0-6m,0
3,54.7,169.45,328.20000000000005,3,1.0326020719073734,1,Male,0,No,Yes,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0-6m,1
62,20.05,1201.65,481.20000000000005,1,0.9666559407931783,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0
13,20.3,275.4,121.80000000000001,1,1.0435771125426296,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,12-24m,0
66,80.45,5224.35,482.70000000000005,4,0.9839256455166959,1,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24m+,1
4,19.65,67.55,117.89999999999999,1,0.8594147582697201,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0-6m,0
9,79.55,718.55,477.29999999999995,3,1.0036315385152594,1,Male,1,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,6-12m,0
69,79.2,5420.65,1900.8000000000002,4,0.9919210218123261,1,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),24m+,0
29,25.15,702.0,150.89999999999998,2,0.9625008569274013,0,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24m+,0
31,104.2,3243.45,625.2,7,1.0041019131942293,0,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,1
10,95.35,898.35,572.0999999999999,5,0.9421604614577871,1,Male,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,6-12m,1
6,44.75,270.95,268.5,2,1.0091247672253258,1,Male,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0-6m,1
37,101.9,3545.35,611.4000000000001,7,0.9403363127602578,1,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24m+,1
15,75.1,1151.55,450.59999999999997,3,1.0222370173102528,1,Male,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,12-24m,0
22,54.45,1127.35,326.70000000000005,4,0.9411052675515484,1,Male,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12-24m,1
28,70.4,1992.2,844.8000000000001,2,1.010653409090909,1,Female,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),24m+,0
4,35.0,135.75,210.0,3,0.9696428571428571,1,Female,0,No,No,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,0-6m,0
49,100.85,4847.35,605.0999999999999,6,0.9809173049487521,1,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,24m+,0
71,71.0,5012.1,852.0,6,0.994267010513787,0,Male,1,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),24m+,0
30,85.45,2509.95,512.7,4,0.9791105909888823,1,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,24m+,0
4,85.65,338.9,513.9000000000001,4,0.9892002335084645,1,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0-6m,1
11,20.0,211.95,240.0,1,0.9634090909090909,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,6-12m,0
8,19.2,161.95,230.39999999999998,1,1.0543619791666667,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,6-12m,0
39,81.5,3107.3,489.0,4,0.9775994966179016,0,Female,0,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),24m+,0
56,104.55,5794.65,1254.6,7,0.9897263783562205,1,Male,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),24m+,1
17,44.6,681.4,535.2,2,0.8987074650487997,1,Male,0,No,Yes,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,12-24m,0
45,115.65,5125.5,693.9000000000001,9,0.9848681366191094,0,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,0
3,94.9,273.2,569.4000000000001,5,0.9596066034422197,1,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0-6m,0
54,63.35,3409.1,1520.4,5,0.9965506153351457,1,Male,0,Yes,Yes,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),24m+,0
52,85.35,4338.6,512.0999999999999,4,0.9775584696498582,1,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,24m+,1
37,20.3,755.4,243.60000000000002,1,1.0057249367594194,0,Female,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24m+,0
7,85.2,602.55,511.20000000000005,4,1.0103118712273642,1,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,6-12m,1
72,84.7,5893.9,2032.8000000000002,8,0.9664666141938868,0,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),24m+,0
62,81.45,4983.05,977.4000000000001,4,0.9867621141012692,1,Male,0,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),24m+,0
1,74.4,74.4,446.40000000000003,3,1.0,1,Male,1,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,1
12,80.45,950.2,482.70000000000005,3,0.9842552309923347,1,Male,1,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,6-12m,1
38,110.7,4428.6,1328.4,8,1.0527742119526458,0,Male,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,24m+,0
5,105.3,550.6,631.8,7,1.0457739791073124,1,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,0-6m,0
2,53.85,108.15,323.1,4,1.0041782729805013,1,Male,0,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0-6m,1
13,20.4,261.3,489.59999999999997,1,0.9852941176470589,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,12-24m,0
52,50.95,2610.65,611.4000000000001,3,0.9853740469540273,1,Female,0,Yes,Yes,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),24m+,0
49,95.6,4783.5,573.5999999999999,5,1.021155324054308,1,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,1
15,30.2,469.65,181.2,2,1.0367549668874172,1,Male,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),12-24m,0
71,59.7,4122.65,1432.8000000000002,6,0.9726213225753179,0,Female,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),24m+,0
51,60.5,3145.15,726.0,5,1.019332361043591,0,Female,0,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),24m+,0
15,80.2,1217.25,481.20000000000005,4,1.0118453865336658,1,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,12-24m,1
69,73.7,4885.85,884.4000000000001,7,0.9607791084105166,0,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),24m+,0
7,34.65,246.6,207.89999999999998,3,1.0166975881261595,0,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,6-12m,0
72,103.95,7556.9,2494.8,8,1.0096868152423706,0,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),24m+,0
