tenure,MonthlyCharges,TotalCharges,CLV,services_count,monthly_to_total_ratio,internet_no_tech_support,tenure_bucket_ord,is_auto_pay,is_long_contract,streaming_services,support_services,senior_fiber_optic,charges_per_month_of_tenure,high_charge_to_clv_ratio,tenure_years,per_service_charge,is_fiber_optic,has_streaming_any,has_support_any,has_multiple_lines_yes,is_electronic_check,paperless_autopay,family_bundle,early_tenure_flag,high_monthly_charge,tenure_remaining,tenure_fraction_complete,remaining_value,remaining_value_ratio,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure_bucket,ChurnFlag,CLV_quartile
11,94.0,1078.9,564.0,5,1.043423597678917,1,1,0,0,2,0,0,98.0818181818182,1,0.9166666666666666,18.8,1,1,0,1,1,0,1,0,1,0,1.8333333333333333,0.0,0.0,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,6-12m,1,High
18,75.4,1380.4,452.4,3,1.017094017094017,1,2,0,0,0,1,0,76.6888888888889,1,1.5,25.133333333333336,1,0,1,0,1,0,0,0,1,0,3.0,0.0,0.0,Female,0,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12-24m,0,Medium
72,104.8,7470.1,2515.2,7,0.989994168787108,1,3,1,1,2,2,0,103.7513888888889,0,6.0,14.971428571428572,1,1,1,1,0,1,1,0,1,0,3.0,0.0,0.0,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0,Premium
10,46.0,492.1,276.0,2,1.069782608695652,1,1,0,0,0,0,0,49.21,1,0.8333333333333334,23.0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,0.0,0.0,Male,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,6-12m,0,Low
1,20.9,20.9,125.4,1,1.0,0,0,0,0,0,0,0,20.9,1,0.0833333333333333,20.9,0,0,0,0,0,0,0,1,0,5,0.1666666666666666,104.5,0.8333333333333334,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-6m,1,Low
21,104.4,2200.25,626.4000000000001,7,1.003580550994344,1,2,1,0,2,2,0,104.77380952380952,1,1.75,14.914285714285716,1,1,1,1,0,1,1,0,1,0,3.5,0.0,0.0,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),12-24m,1,High
32,91.05,2871.5,546.3,4,0.9855505216913784,1,3,0,0,2,0,0,89.734375,1,2.6666666666666665,22.7625,1,1,0,0,1,0,0,0,1,0,5.0,0.0,0.0,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,24m+,0,High
18,69.8,1221.65,418.7999999999999,2,0.9723416109519264,1,2,0,0,0,0,0,67.86944444444445,1,1.5,34.9,1,0,0,0,1,0,0,0,0,0,3.0,0.0,0.0,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,12-24m,0,Medium
72,118.2,8547.15,2836.8,9,1.0043182459108857,0,3,0,1,2,4,0,118.71041666666666,0,6.0,13.133333333333333,1,1,1,1,1,0,0,0,1,0,3.0,0.0,0.0,Male,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,24m+,0,Premium
10,84.6,865.55,507.6,4,1.0231087470449172,1,1,1,0,1,1,1,86.55499999999999,1,0.8333333333333334,21.15,1,1,1,0,0,1,0,0,1,0,1.6666666666666667,0.0,0.0,Female,1,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),6-12m,1,Medium
41,20.15,802.35,483.6,1,0.971191672214489,0,3,0,1,0,0,0,19.569512195121952,0,3.4166666666666665,20.15,0,0,0,0,0,0,0,0,0,0,1.7083333333333333,0.0,0.0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,0,Medium
1,40.1,40.1,240.6,3,1.0,0,0,0,0,1,1,0,40.1,1,0.0833333333333333,13.366666666666667,0,1,1,0,1,0,1,1,0,5,0.1666666666666666,200.50000000000003,0.8333333333333334,Female,0,Yes,Yes,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,0-6m,1,Low
16,73.25,1195.75,439.5,3,1.020264505119454,1,2,1,0,0,1,0,74.734375,1,1.3333333333333333,24.416666666666668,1,0,1,0,0,0,1,0,1,0,2.6666666666666665,0.0,0.0,Female,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),12-24m,0,Medium
8,69.7,560.85,418.2000000000001,2,1.0058285509325682,1,1,0,0,0,0,1,70.10625,1,0.6666666666666666,34.85,1,0,0,0,1,0,0,0,0,0,1.3333333333333333,0.0,0.0,Male,1,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,6-12m,1,Medium
6,94.5,575.45,567.0,5,1.0149029982363316,1,0,0,0,2,1,0,95.90833333333336,1,0.5,18.9,1,1,1,0,0,0,1,1,1,0,1.0,0.0,0.0,Male,0,No,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,0-6m,1,High
54,105.4,5643.4,1264.8000000000002,7,0.9915313795769204,0,3,1,1,2,3,0,104.5074074074074,0,4.5,15.05714285714286,1,1,1,0,0,1,0,0,1,0,4.5,0.0,0.0,Male,0,No,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),24m+,1,Premium
24,101.25,2440.15,607.5,6,1.0041769547325103,1,2,0,0,2,1,1,101.67291666666668,1,2.0,16.875,1,1,1,1,1,0,0,0,1,0,4.0,0.0,0.0,Male,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,12-24m,1,High
23,19.65,478.1,235.8,1,1.0578603827857065,0,2,1,1,0,0,0,20.786956521739132,0,1.9166666666666667,19.65,0,0,0,0,0,1,0,0,0,0,1.9166666666666667,0.0,0.0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),12-24m,0,Low
45,99.7,4634.35,2392.8,6,1.0329544188119917,1,3,1,1,2,1,0,102.98555555555556,0,3.75,16.616666666666667,1,1,1,1,0,0,1,0,1,0,1.875,0.0,0.0,Male,0,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),24m+,0,Premium
8,45.45,411.75,272.70000000000005,2,1.1324257425742574,1,1,0,0,0,0,0,51.46875,1,0.6666666666666666,22.725,0,0,0,0,1,0,1,0,0,0,1.3333333333333333,0.0,0.0,Female,0,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,6-12m,0,Low
1,24.8,24.8,148.8,1,1.0,1,0,1,0,0,0,0,24.8,1,0.0833333333333333,24.8,0,0,0,0,0,0,0,1,0,5,0.1666666666666666,124.0,0.8333333333333334,Male,0,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0-6m,1,Low
1,44.9,44.9,269.4,2,1.0,1,0,1,0,0,0,0,44.9,1,0.0833333333333333,22.45,0,0,0,0,0,1,0,1,0,5,0.1666666666666666,224.49999999999997,0.8333333333333333,Female,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0-6m,1,Low
72,21.0,1493.75,504.0,1,0.9879298941798942,0,3,1,1,0,0,0,20.74652777777778,0,6.0,21.0,0,0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24m+,0,Medium
3,45.0,127.1,270.0,2,0.9414814814814816,1,0,0,0,0,0,0,42.36666666666667,1,0.25,22.5,0,0,0,0,1,0,0,1,0,3,0.5,142.9,0.5292592592592593,Female,1,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0-6m,1,Low
23,75.0,1778.5,450.0,3,1.0310144927536231,1,2,1,0,0,1,0,77.32608695652173,1,1.9166666666666667,25.0,1,0,1,0,0,1,0,0,1,0,3.8333333333333335,0.0,0.0,Female,0,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),12-24m,0,Medium
54,72.1,3886.05,865.1999999999999,6,0.9981121898597628,0,3,0,1,1,2,0,71.96388888888889,0,4.5,12.016666666666666,0,1,1,1,0,0,0,0,1,0,4.5,0.0,0.0,Female,1,No,No,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,24m+,0,Premium
69,99.15,6875.35,2379.6000000000004,6,1.0049697793564136,1,3,1,1,2,1,0,99.6427536231884,0,5.75,16.525000000000002,1,1,1,1,0,0,1,0,1,0,2.875,0.0,0.0,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),24m+,0,Premium
8,19.75,145.0,237.0,1,0.9177215189873418,0,1,0,1,0,0,0,18.125,0,0.6666666666666666,19.75,0,0,0,0,0,0,1,0,0,4,0.6666666666666666,92.0,0.3881856540084388,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,6-12m,1,Low
12,19.4,198.1,116.4,1,0.8509450171821307,0,1,1,0,0,0,0,16.508333333333333,1,1.0,19.4,0,0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),6-12m,0,Low
71,116.3,8309.55,1395.6,9,1.006327734247272,0,3,1,1,2,4,0,117.03591549295774,0,5.916666666666667,12.922222222222222,1,1,1,1,0,1,0,0,1,0,5.0,0.0,0.0,Male,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),24m+,0,Premium
69,24.95,1718.35,598.8,2,0.9981412099561442,0,3,1,1,0,0,0,24.903623188405795,0,5.75,12.475,0,0,0,1,0,1,1,0,0,0,2.875,0.0,0.0,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0,High
36,76.35,2606.35,916.2,7,0.9482463799752602,0,3,0,1,1,4,0,72.39861111111111,0,3.0,10.907142857142857,0,1,1,0,0,0,0,0,1,0,3.0,0.0,0.0,Female,0,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,24m+,0,Premium
38,62.3,2354.8,747.5999999999999,5,0.9946777054997044,0,3,0,1,1,2,0,61.968421052631584,0,3.1666666666666665,12.46,0,1,1,0,0,0,0,0,0,0,3.1666666666666665,0.0,0.0,Male,0,No,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,24m+,1,High
33,59.4,1952.8,712.8,5,0.9962248750127538,0,3,0,1,0,2,0,59.17575757575757,0,2.75,11.88,0,0,1,1,1,0,0,0,0,0,2.75,0.0,0.0,Female,0,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,24m+,0,High
1,24.8,24.8,148.8,1,1.0,1,0,0,0,0,0,0,24.8,1,0.0833333333333333,24.8,0,0,0,0,1,0,1,1,0,5,0.1666666666666666,124.0,0.8333333333333334,Female,1,Yes,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,1,Low
31,20.45,638.55,490.7999999999999,1,1.0072560927517944,0,3,0,1,0,0,0,20.598387096774193,0,2.5833333333333335,20.45,0,0,0,0,0,0,0,0,0,0,1.2916666666666667,0.0,0.0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,0,Medium
58,25.3,1474.35,607.2,2,1.0047362682295216,0,3,1,1,0,0,0,25.419827586206896,0,4.833333333333333,12.65,0,0,0,1,0,1,0,0,0,0,2.4166666666666665,0.0,0.0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0,High
51,81.0,4085.75,486.0,4,0.989046235778262,1,3,1,0,0,1,0,80.11274509803921,1,4.25,20.25,1,0,1,1,0,0,0,0,1,0,5.0,0.0,0.0,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24m+,0,Medium
13,54.15,701.05,649.8,4,0.9958803892321898,0,2,1,1,0,2,0,53.926923076923075,0,1.0833333333333333,13.5375,0,0,1,0,0,0,1,0,0,0,1.0833333333333333,0.0,0.0,Female,0,Yes,Yes,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),12-24m,0,High
58,94.35,5563.65,2264.3999999999996,6,1.0166931637519874,0,3,1,1,1,2,0,95.925,0,4.833333333333333,15.725,1,1,1,1,0,0,1,0,1,0,2.4166666666666665,0.0,0.0,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),24m+,0,Premium
35,25.6,901.25,153.60000000000002,2,1.005859375,0,3,0,0,0,0,0,25.75,1,2.9166666666666665,12.8,0,0,0,1,1,0,0,0,0,0,5.0,0.0,0.0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24m+,0,Low
70,86.45,5950.2,2074.8,8,0.9832603486738823,0,3,1,1,2,4,0,85.00285714285714,0,5.833333333333333,10.80625,0,1,1,0,0,0,1,0,1,0,2.9166666666666665,0.0,0.0,Female,0,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),24m+,0,Premium
65,24.8,1600.95,297.6,2,0.9931451612903226,0,3,1,1,0,0,0,24.63,0,5.416666666666667,12.4,0,0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24m+,0,Low
18,88.35,1639.3,530.0999999999999,5,1.0308117965163806,0,2,0,0,1,1,0,91.07222222222222,1,1.5,17.669999999999998,1,1,1,1,1,0,0,0,1,0,3.0,0.0,0.0,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,12-24m,1,High
45,50.9,2298.55,305.4,3,1.0035145164811177,1,3,1,0,0,1,0,51.07888888888889,1,3.75,16.966666666666665,0,0,1,0,0,1,0,0,0,0,5.0,0.0,0.0,Male,0,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),24m+,0,Low
41,99.8,4259.3,598.8,6,1.040935529595777,1,3,0,0,2,1,1,103.88536585365854,1,3.4166666666666665,16.633333333333333,1,1,1,1,1,0,1,0,1,0,5.0,0.0,0.0,Male,1,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,1,High
47,78.9,3650.35,946.8,4,0.9843728932394896,1,3,0,1,0,1,0,77.66702127659575,0,3.9166666666666665,19.725,1,0,1,1,1,0,1,0,1,0,3.9166666666666665,0.0,0.0,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,24m+,0,Premium
72,79.5,5661.7,1908.0,8,0.989116002795248,0,3,1,1,1,4,0,78.63472222222222,0,6.0,9.9375,0,1,1,1,0,1,1,0,1,0,3.0,0.0,0.0,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),24m+,0,Premium
62,60.15,3753.2,1443.6,5,1.0064087094092726,0,3,1,1,0,3,0,60.53548387096774,0,5.166666666666667,12.03,0,0,1,0,0,1,1,0,0,0,2.5833333333333335,0.0,0.0,Male,0,Yes,No,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),24m+,0,Premium
23,25.6,514.75,614.4000000000001,2,0.8742357336956521,0,2,1,1,0,0,0,22.380434782608695,0,1.9166666666666667,12.8,0,0,0,1,0,1,1,0,0,1,0.9583333333333334,99.65000000000008,0.1621907552083334,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),12-24m,0,High
56,24.9,1334.0,298.79999999999995,2,0.9566838783706254,0,3,0,1,0,0,0,23.821428571428573,0,4.666666666666667,12.45,0,0,0,1,1,0,0,0,0,0,4.666666666666667,0.0,0.0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24m+,1,Low
8,64.1,504.05,384.6,5,0.982936817472699,0,1,0,0,1,2,0,63.00625,1,0.6666666666666666,12.82,0,1,1,0,0,0,0,0,0,0,1.3333333333333333,0.0,0.0,Female,0,No,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,6-12m,0,Medium
71,24.4,1725.4,585.5999999999999,2,0.9959593627337798,0,3,1,1,0,0,0,24.301408450704223,0,5.916666666666667,12.2,0,0,0,1,0,1,1,0,0,0,2.9583333333333335,0.0,0.0,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0,High
58,71.6,4230.25,1718.4,7,1.0186500674243886,0,3,1,1,0,4,0,72.9353448275862,0,4.833333333333333,10.228571428571428,0,0,1,1,0,0,1,0,1,0,2.4166666666666665,0.0,0.0,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),24m+,0,Premium
63,74.5,4674.55,1788.0,7,0.9959625013316288,0,3,1,1,1,4,0,74.19920634920635,0,5.25,10.642857142857142,0,1,1,0,0,0,1,0,1,0,2.625,0.0,0.0,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),24m+,0,Premium
6,69.8,377.85,418.7999999999999,2,0.902220630372493,1,0,0,0,0,0,0,62.975,1,0.5,34.9,1,0,0,0,1,0,1,1,0,0,1.0,40.94999999999993,0.097779369627507,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,0,Medium
14,39.7,692.35,952.8,4,1.2456818999640158,0,2,0,1,0,3,0,49.45357142857143,0,1.1666666666666667,9.925,0,0,1,0,0,0,0,0,0,10,0.5833333333333334,260.45000000000005,0.2733522250209907,Female,1,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,12-24m,0,Premium
68,108.45,7176.55,1301.4,8,0.973144306131858,0,3,0,1,2,3,0,105.5375,0,5.666666666666667,13.55625,1,1,1,1,1,0,0,0,1,0,5.0,0.0,0.0,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,24m+,1,Premium
6,49.65,267.35,297.9,3,0.8974488083249414,0,0,1,0,0,1,0,44.55833333333334,1,0.5,16.55,0,0,1,0,0,1,0,1,0,0,1.0,30.549999999999955,0.1025511916750586,Female,0,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),0-6m,1,Low
64,104.4,6692.65,2505.6000000000004,7,1.0016537954980842,1,3,1,1,2,2,0,104.57265625,0,5.333333333333333,14.914285714285716,1,1,1,1,0,1,0,0,1,0,2.6666666666666665,0.0,0.0,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0,Premium
7,19.5,128.6,234.0,1,0.942124542124542,0,1,0,1,0,0,0,18.37142857142857,0,0.5833333333333334,19.5,0,0,0,0,0,0,0,0,0,5,0.5833333333333334,105.4,0.4504273504273504,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,6-12m,0,Low
11,60.9,688.5,365.4,5,1.0277653381101657,0,1,0,0,0,3,0,62.59090909090909,1,0.9166666666666666,12.18,0,0,1,0,1,0,0,0,0,0,1.8333333333333333,0.0,0.0,Male,0,No,No,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,6-12m,0,Medium
1,25.7,25.7,154.2,2,1.0,0,0,0,0,0,0,0,25.7,1,0.0833333333333333,12.85,0,0,0,1,1,0,0,1,0,5,0.1666666666666666,128.5,0.8333333333333334,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,0-6m,0,Low
53,73.8,4003.85,442.7999999999999,3,1.023636038247175,1,3,1,0,0,1,1,75.5443396226415,1,4.416666666666667,24.6,1,0,1,0,0,1,0,0,1,0,5.0,0.0,0.0,Female,1,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24m+,0,Medium
12,19.3,228.75,231.6,1,0.9876943005181348,0,1,0,1,0,0,0,19.0625,0,1.0,19.3,0,0,0,0,0,0,0,0,0,0,1.0,2.8500000000000227,0.0123056994818653,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,6-12m,0,Low
33,53.75,1857.3,645.0,4,1.0471035940803382,0,3,1,1,0,2,0,56.28181818181818,0,2.75,13.4375,0,0,1,0,0,1,1,0,0,0,2.75,0.0,0.0,Female,0,Yes,No,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),24m+,0,High
24,94.1,2322.85,564.5999999999999,5,1.0285379029401347,1,2,0,0,2,0,0,96.78541666666666,1,2.0,18.82,1,1,0,1,1,0,0,0,1,0,4.0,0.0,0.0,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,12-24m,0,High
70,40.05,2799.75,961.2,3,0.9986623863028358,0,3,0,1,1,1,0,39.996428571428574,0,5.833333333333333,13.35,0,1,1,0,0,0,0,0,0,0,2.9166666666666665,0.0,0.0,Male,0,No,No,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,24m+,0,Premium
37,20.15,785.75,241.8,1,1.053919924887667,0,3,1,1,0,0,0,21.236486486486488,0,3.0833333333333335,20.15,0,0,0,0,0,0,0,0,0,0,3.0833333333333335,0.0,0.0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24m+,0,Low
5,104.1,541.9,624.5999999999999,7,1.0411143131604226,1,0,0,0,2,2,0,108.38,1,0.4166666666666667,14.87142857142857,1,1,1,1,0,0,0,1,1,1,0.8333333333333334,82.69999999999993,0.132404739032981,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,0-6m,1,High
